"ID","MODELO","ANO","COR","HP","FABRICANTE","PAIS"
"1","Golf","2020","Preto","150","Volkswagen","Alemanha"
"2","Polo","2019","Branco","130","Volkswagen","Alemanha"
"3","Passat","2021","Prata","180","Volkswagen","Alemanha"
"4","Tiguan","2022","Azul","200","Volkswagen","Alemanha"
"5","Fusion","2021","Vermelho","245","Ford","EUA"
"6","Focus","2020","Cinza","150","Ford","EUA"
"7","Mustang","2022","Amarelo","450","Ford","EUA"
"8","Corolla","2022","Branco","160","Toyota","Japao"
"9","Camry","2021","Azul","250","Toyota","Japao"
"10","Hilux","2020","Preto","230","Toyota","Japao"
"11","Yaris","2022","Prata","140","Toyota","Japao"
"12","RAV4","2021","Verde","200","Toyota","Japao"
"13","Uno","2020","Cinza","75","Fiat","Italia"
"14","Palio","2019","Branco","85","Fiat","Italia"
"15","Toro","2022","Vermelho","180","Fiat","Italia"
"16","500","2021","Amarelo","100","Fiat","Italia"
"17","X5","2022","Preto","330","BMW","Alemanha"
"18","320i","2021","Prata","250","BMW","Alemanha"
"19","M3","2023","Vermelho","500","BMW","Alemanha"
"20","330e","2021","Azul","250","BMW","Alemanha"
"21","Civic","2021","Prata","180","Honda","Japao"
"22","CR-V","2020","Branco","220","Honda","Japao"
"23","HR-V","2021","Azul","180","Honda","Japao"
"24","Fit","2020","Cinza","130","Honda","Japao"
"25","Cruze","2020","Preto","160","Chevrolet","EUA"
"26","Onix","2021","Vermelho","115","Chevrolet","EUA"
"27","Camaro","2023","Amarelo","350","Chevrolet","EUA"
"28","Trailblazer","2022","Prata","250","Chevrolet","EUA"
"29","Equinox","2021","Azul","220","Chevrolet","EUA"
"30","Creta","2021","Branco","150","Hyundai","Coreia do Sul"
"31","Elantra","2021","Cinza","160","Hyundai","Coreia do Sul"
"32","Tucson","2020","Preto","190","Hyundai","Coreia do Sul"
"33","HB20","2022","Vermelho","120","Hyundai","Coreia do Sul"
"34","Kona","2022","Azul","200","Hyundai","Coreia do Sul"
"35","Duster","2020","Prata","150","Renault","Franca"
"36","Sandero","2021","Amarelo","110","Renault","Franca"
"37","Kwid","2021","Vermelho","70","Renault","Franca"
"38","Captur","2022","Branco","170","Renault","Franca"
"39","208","2020","Preto","130","Peugeot","Franca"
"40","3008","2021","Cinza","180","Peugeot","Franca"
"41","5008","2021","Azul","220","Peugeot","Franca"
"42","A-Class","2021","Vermelho","250","Mercedes-Benz","Alemanha"
"43","C-Class","2022","Branco","300","Mercedes-Benz","Alemanha"
"44","E-Class","2021","Prata","350","Mercedes-Benz","Alemanha"
"45","A3","2020","Preto","210","Audi","Alemanha"
"46","A4","2021","Cinza","250","Audi","Alemanha"
"47","Q5","2021","Azul","280","Audi","Alemanha"
"48","Altima","2020","Prata","240","Nissan","Japao"
"49","Sentra","2021","Vermelho","180","Nissan","Japao"
"50","Rogue","2022","Preto","200","Nissan","Japao"
"51","Seltos","2021","Amarelo","180","Kia","Coreia do Sul"
"52","Sportage","2020","Branco","220","Kia","Coreia do Sul"
"53","Soul","2022","Vermelho","150","Kia","Coreia do Sul"
"54","Outlander","2021","Azul","200","Mitsubishi","Japao"
"55","L200","2022","Preto","230","Mitsubishi","Japao"
"56","ASX","2021","Prata","170","Mitsubishi","Japao"
"57","Pacifica","2021","Branco","250","Chrysler","EUA"
"58","Voyager","2020","Preto","240","Chrysler","EUA"
"59","CX-5","2022","Vermelho","220","Mazda","Japao"
"60","Mazda3","2021","Cinza","180","Mazda","Japao"
"61","Outback","2020","Azul","250","Subaru","Japao"
"62","Impreza","2021","Preto","170","Subaru","Japao"
"63","Discovery","2021","Branco","300","Land Rover","Reino Unido"
"64","Defender","2022","Prata","320","Land Rover","Reino Unido"
"65","F-Type","2020","Amarelo","450","Jaguar","Reino Unido"
"66","XE","2021","Azul","300","Jaguar","Reino Unido"
"67","488","2020","Vermelho","600","Ferrari","Italia"
"68","Roma","2021","Branco","620","Ferrari","Italia"
"69","Huracan","2021","Verde","640","Lamborghini","Italia"
"70","Aventador","2022","Preto","700","Lamborghini","Italia"
"71","911","2021","Cinza","500","Porsche","Alemanha"
"72","Cayenne","2022","Prata","550","Porsche","Alemanha"
"73","Model S","2020","Preto","500","Tesla","EUA"
"74","Model 3","2021","Branco","400","Tesla","EUA"
"75","XC90","2021","Azul","300","Volvo","Suecia"
"76","XC60","2021","Cinza","250","Volvo","Suecia"
"77","Giulia","2021","Vermelho","280","Alfa Romeo","Italia"
"78","Stelvio","2022","Preto","320","Alfa Romeo","Italia"
"79","DB11","2020","Verde","500","Aston Martin","Reino Unido"
"80","Vantage","2021","Azul","510","Aston Martin","Reino Unido"
"81","Continental GT","2021","Prata","630","Bentley","Reino Unido"
"82","Bentayga","2022","Branco","650","Bentley","Reino Unido"
"83","720S","2021","Amarelo","720","McLaren","Reino Unido"
"84","GT","2022","Verde","620","McLaren","Reino Unido"
"85","Cooper S","2021","Vermelho","190","Mini","Reino Unido"
"86","Countryman","2022","Preto","220","Mini","Reino Unido"
